id,name,description,deadline,steps,host,type,majors,link,location,eligibility,funding
34,Amgen Scholars Program at Institut Pasteur,"Institut Pasteur is a recognized public non-profit organization with three core missions: research, public health and teaching. Founded more than a century ago and still true to the humanist ideals of Louis Pasteur, the institute of today is one of the world's leading research centers, with a multidisciplinary panel of scientific teams offering training in a large variety of topics, covering Molecular and Cellular Biology, Genetics, Immunology, Microbiology, Genomics, Bioinformatics, Structural Biology, Enzymology, Biological Chemistry, Virology, Parasitology, Mycology, Epidemiology, Imaging, Neurosciences, Developmental Biology.",2026-02-01,Application,"Institut Pasteur, Amgen",Internship,"Biology, Chemistry, Biomedical Engineering",https://www.pasteur.fr/en/education/programs-and-courses/internships-and-pre-doctoral-programs/amgen-scholars-program,France ,"UG 2 year, UG 3 year",Full
35,Amgen Scholars Program at Karolinska Institutet,"The Amgen Scholars Program at Karolinska Institutet (KI) is an opportunity for international and national undergraduate students to conduct research during 8 weeks in the summer at KI. The program will begin with a few days of introduction to research at KI together with lectures on scientific writing and poster presentation. The program will end with oral and poster presentations of the conducted research where the students also get trained in critiquing each other's work. Throughout the program, students will be part of a research group and participate in lab work, scientific discussions, journal clubs, seminars, and other topics. KI believes this will be an excellent way of providing a robust academic research experience to students from across Europe.",2026-02-01,Application,"Karolinska Institutet, Amgen",Internship,"Biology, Chemistry, Biomedical Engineering",https://education.ki.se/student-at-ki/studies-and-traineeships-abroad/amgen-scholars-program-at-karolinska-institutet,Sweden,"UG 2 year, UG 3 year",Full
36,The Amgen Scholars Programme at LMU Munich,"Amgen Scholars at LMU Munich will engage in 9 weeks of intensive laboratory research in cooperation with the clinics, centers, departments and institutes at the LMU and its University Hopital, the Helmholtz Center, the Technical University of Munich, the Max-Planck Institutes of Biochemistry, Biological Intelligence, and Psychiatry, offering a unique academic and scientific life-science environment with renowned institutions and world-leading researchers.",2026-02-01,Application,"Ludwig-Maximilians-Universität München, Amgen",Internship,,https://amgenscholars.com/university/ludwig-maximilians-universitaet-muenchen-germany/,Germany,"UG 2 year, UG 3 year",Full
37,Cambridge Amgen Scholars,The Cambridge Amgen Scholars Programme offers undergraduate students from across Europe the opportunity to take part in an eight week research project within one of the laboratories at the University of Cambridge.,2026-02-01,Application,"University of Cambridge, Amgen",Internship,,https://amgenscholars.bio.cam.ac.uk,UK,"UG 2 year, UG 3 year",Full
38,SSI – Saudi Summer Internship (KAUST),"The Saudi Summer Internship (SSI) is a fully sponsored 6- to 10-week research internship held at KAUST (King Abdullah University of Science and Technology) in Saudi Arabia. It offers projects in applied mathematics, computational sciences, computer science, ECE, statistics, etc. Participants attend workshops, technical training, and a final e-poster competition. The program is aimed at Saudi students, recent graduates, and master’s students. For 2026, applications open in February.",2026-02-01,Application,KAUST,Internship,"Mathematics, Computer Science, Electrical and Computer Engineering",https://cemse.kaust.edu.sa/internship-opportunities/saudi-summer-internship-ssi?,KAUST,"UG 3 year, GrM 1 year, GrM 2 year",Full
39,RIKEN CBS Summer Program 2026,"The RIKEN Center for Brain Science (RIKEN CBS), located just outside Tokyo, Japan, offers a summer program to train advanced students interested in brain function. Applicants may choose either a 2-month laboratory internship (Plan A) within a RIKEN CBS laboratory or an intensive 5 days lecture course (Plan B) featuring a distinguished international faculty. Those participating in the internship may also enroll in the lecture course. The course consists of an intensive 5 days lecture series featuring distinguished international faculty and poster sessions to be put on by the program participants. These two components are equally important for the students to deepen their insight and enhance their expertise in neuroscience. While the lectures serve to introduce them to cutting-edge research being carried out throughout the world, the student poster session allows them to experience the work of their colleagues and share their own research.",2026-01-07,Application,Riken CBS ,Internship,"Biology, Chemistry, Biomedical Engineering",https://cbs.riken.jp/en/summer/applying.html,Japan,"UG 2 year, UG 3 year",Trip and dormitory
40,Vienna BioCenter Summer School,9-week Research Program or Life Science Undergrads at one of Europe's leading Research Centers,2026-01-11,Application,Vienna BioCenter,Internship,"Biology, Chemistry, Biomedical Engineering",https://training.vbc.ac.at/summer-school/,Austria,"UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year",Full
41,AScI International Summer Research Programme,"Calling all research-oriented students: Spend Summer 2026 in Finland with a transformative research assistantship at Aalto University. Open to bachelor's, master's, and—in exceptional cases—doctoral students worldwide.",2026-01-31,Application,Aalto University,Internship,"Computer Science, Chemical Engineering, Electrical and Computer Engineering, Physics",https://www.aalto.fi/en/aalto-science-institute-asci/how-to-apply-for-the-asci-international-summer-research-programme,Finland,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Full
42,Inria Research internships ,"Every year, Inria hosts interns in its research teams and support services (students of any level and trainee engineers). An internship at the Institute will appeal to those attracted by digital science and technology and the public research environment. Our departments can also take you if you are an apprentice, to open up new horizons for you and perhaps inspire a vocation. These two schemes offer you the chance to gain some unique experience and will open up perspectives that will help you choose the direction of your future career.",,Application,Inria,Internship,"Computer Science, Chemical Engineering, Electrical and Computer Engineering, Physics, Biomedical Engineering ",https://www.inria.fr/en/interns-and-apprentices,France,"UG 1 year, UG 2 year, UG 3 year, UG 4 year, GrM 1 year, GrM 2 year, PhD",Self-paid or minimal salary
43,Summer Student Program 2026 at HZDR,"Each summer between July and September, the HZDR offers the possibility to join our research groups and participate in their activities. This offer applies to international senior university students of natural sciences, life sciences, medicine, technology and related areas. Our researchers design a project plan for you, supervise, and coach you throughout the whole project. A selected range of lectures and lab tours, which introduce you into the different branches of our research center, complete the program.",2026-02-22,Application,HZDR,Internship,"Biology, Chemistry, Biomedical Engineering",https://www.hzdr.de/db/Cms?pNid=2914,Germany,"UG 3 year, GrM 1 year ",Accommodation and stipend
44,The Sanger Prize Competition 2026,"The winner of the Sanger Institute Prize will be offered a three-month internship with a research group at the Wellcome Sanger Institute. Travel, living and research expenses are all covered by the award.",2026-01-09,Application,Sanger Institute,Internship,"Biology, Medical Sciences",https://www.sanger.ac.uk/about/study/the-sanger-prize-competition-2026/,UK,"UG 1 year, UG 2 year, UG 3 year",Full
45,International Undergraduate Summer School,"The Undergraduate Summer School is a unique opportunity for undergraduates from all corners of the world to spend eight weeks at our internationally renowned research centre, partnering with fellow Norwich Research Park institutes; The Sainsbury Laboratory and the Earlham Institute.",2026-01-16,Application,The John Innes Centre,Internship,"Biology, Medical Sciences",https://www.jic.ac.uk/training-careers/summer-schools/international-undergraduate/#,UK,"UG 2 year, UG 3 year",Accommodation and stipend
46,The Biochemical Society's Summer Vacation Studentship,The Biochemical Society's Summer Vacation Studentship scheme funds 6 week summer placements for undergraduate students in biochemistry and related subjects.,,Application,Biochemical Society,Internship,"Biology, Chemistry, Biomedical Engineering",https://www.biochemistry.org/grants-and-awards/grants-and-bursaries/summer-vacation-studentships/,UK,"UG 2 year, UG 3 year",Stipend
